2026-02-05T19:16:50 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:50 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:50 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:50 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
2026-02-05T19:16:51 FALL detected roll=1.571 pitch=0.092 yaw=0.092
